a;Sociedad anónima
b;Sociedad de responsabilidad limitada
c;Sociedad colectiva
d;Sociedad comanditaria
e;Comunidad de bienes
f;Sociedad cooperativa
g;Asociación o fundación
h;Comunidad de propietarios en régimen de propiedad horizontal
j;Sociedad civil
n;Entidad no residente
p;Corporación local
q;Organismo autónomo, congregación o institución religiosa
r;Congregación religiosa (posterior a 2008)
s;Órgano de la administración del estado o comunidad autónoma
u;Unión temporal de empresas
v;Sociedad agraria de transformación
w;Establecimiento permanente de entidad no residente en España